model_name,model_type,training_data,imagenet_accuracy,perspective_accuracy,depth_accuracy,perspective_accuracy_human,depth_accuracy_human,uniqua_accuracy,uniqua_resize_accuracy,uniqua_padded_accuracy,uniqua_truncated_accuracy,uniqua_crop_square_accuracy,model_input_sizes
hrnet_w32.ms_in1k,CNN,ImageNet 1k,78.442,50.38981289,67.83762685,50.0,63.82978723,53.74280230326296,57.21153846153846,65.5048076923077,0.0,69.95192307692308,224.0
hrnet_w40.ms_in1k,CNN,ImageNet 1k,78.932,51.61122661,63.19281811,50.0,60.63829787,54.510556621881,63.94230769230769,59.49519230769231,0.0,69.23076923076923,224.0
hrnet_w44.ms_in1k,CNN,ImageNet 1k,78.894,50.25987526,66.93989071,61.70212766,60.63829787,54.510556621881,62.25961538461539,50.24038461538461,0.0,50.48076923076923,224.0
hrnet_w48.ms_in1k,CNN,ImageNet 1k,79.306,49.50623701,66.43247463,52.12765957,57.44680851,52.01535508637236,63.94230769230769,59.25480769230769,0.0,68.99038461538461,224.0
lcnet_050.ra2_in1k,CNN,ImageNet 1k,63.138,50.83160083,58.54800937,51.06382979,69.14893617,51.0556621880998,51.5625,58.77403846153846,60.09615384615385,62.98076923076923,224.0
lcnet_075.ra2_in1k,CNN,ImageNet 1k,68.782,50.23388773,60.73380172,54.25531915,65.95744681,50.47984644913628,53.96634615384615,55.16826923076923,58.29326923076923,66.34615384615384,224.0
lcnet_100.ra2_in1k,CNN,ImageNet 1k,72.102,51.27338877,63.19281811,54.25531915,72.34042553,53.35892514395394,65.7451923076923,59.01442307692308,52.16346153846154,52.16346153846154,224.0
levit_128.fb_dist_in1k,Transformer,ImageNet 1k,78.49,48.98648649,65.22248244,56.38297872,52.12765957,0.0,0.0,0.0,0.0,0.0,0.0
levit_128s.fb_dist_in1k,Transformer,ImageNet 1k,76.526,49.55821206,63.93442623,46.80851064,59.57446809,52.01535508637236,53.72596153846154,52.88461538461539,0.0,53.125,224.0
levit_192.fb_dist_in1k,Transformer,ImageNet 1k,79.838,49.53222453,66.93989071,51.06382979,59.57446809,49.1362763915547,53.60576923076923,56.12980769230769,0.0,56.73076923076923,224.0
levit_256.fb_dist_in1k,Transformer,ImageNet 1k,81.524,51.11746362,64.16861827,53.19148936,58.5106383,52.5911708253359,54.80769230769231,48.91826923076923,0.0,48.55769230769231,224.0
levit_384.fb_dist_in1k,Transformer,ImageNet 1k,82.596,50.38981289,70.99921936,53.19148936,54.25531915,55.47024952015354,59.13461538461539,55.28846153846154,0.0,59.13461538461539,224.0
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,Transformer,ImageNet 12k,86.894,50.36382536,70.17954723,52.12765957,56.38297872,49.32821497120921,56.73076923076923,55.52884615384615,0.0,57.21153846153846,224.0
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,Transformer,ImageNet 12k,87.464,51.71517672,76.8930523,54.25531915,64.89361702,53.55086372360845,59.73557692307692,50.48076923076923,0.0,60.09615384615385,384.0
maxvit_rmlp_small_rw_224.sw_in1k,Transformer,ImageNet 1k,84.492,50.80561331,68.26697892,48.93617021,64.89361702,52.39923224568138,58.77403846153846,57.09134615384615,0.0,57.69230769230769,224.0
maxvit_small_tf_224.in1k,Transformer,ImageNet 1k,84.426,50.72765073,72.09211553,56.38297872,62.76595745,54.510556621881,56.97115384615385,53.125,0.0,57.69230769230769,224.0
maxvit_tiny_rw_224.sw_in1k,Transformer,ImageNet 1k,83.504,50.51975052,65.88602654,55.31914894,55.31914894,52.5911708253359,57.21153846153846,46.27403846153846,0.0,47.83653846153846,224.0
maxvit_tiny_tf_224.in1k,Transformer,ImageNet 1k,83.402,50.02598753,66.2763466,53.19148936,61.70212766,50.8637236084453,53.84615384615385,52.52403846153846,0.0,51.68269230769231,224.0
mixnet_l.ft_in1k,CNN,ImageNet 1k,78.966,51.45530146,67.83762685,47.87234043,60.63829787,52.39923224568138,58.17307692307692,49.87980769230769,65.14423076923077,46.15384615384615,224.0
mixnet_m.ft_in1k,CNN,ImageNet 1k,77.26,50.62370062,71.8969555,51.06382979,71.27659574,53.16698656429942,64.66346153846153,63.94230769230769,64.1826923076923,67.78846153846153,224.0
mixnet_s.ft_in1k,CNN,ImageNet 1k,75.994,50.85758836,66.54957065,52.12765957,71.27659574,55.27831094049904,63.10096153846154,65.02403846153847,57.57211538461539,63.46153846153846,224.0
mixnet_xl.ra_in1k,CNN,ImageNet 1k,80.482,51.37733888,67.29117877,53.19148936,64.89361702,51.631477927063344,47.59615384615385,60.69711538461539,60.33653846153846,66.34615384615384,224.0
mobilenetv2_050.lamb_in1k,CNN,ImageNet 1k,65.948,50.33783784,59.21155347,55.31914894,60.63829787,54.12667946257198,62.98076923076923,59.73557692307692,62.25961538461539,68.26923076923077,224.0
mobilenetv2_100.ra_in1k,CNN,ImageNet 1k,72.968,50.05197505,61.20218579,50.0,65.95744681,55.27831094049904,58.65384615384615,52.40384615384615,60.33653846153846,65.14423076923077,224.0
mobilenetv2_110d.ra_in1k,CNN,ImageNet 1k,75.054,50.20790021,66.47150664,54.25531915,67.0212766,51.631477927063344,66.94711538461539,62.25961538461539,62.62019230769231,52.64423076923077,224.0
mobilenetv2_120d.ra_in1k,CNN,ImageNet 1k,77.308,51.74116424,59.13348946,46.80851064,56.38297872,53.93474088291747,52.76442307692308,52.64423076923077,64.42307692307692,61.77884615384615,224.0
mobilenetv2_140.ra_in1k,CNN,ImageNet 1k,76.516,50.33783784,60.6167057,51.06382979,64.89361702,52.39923224568138,67.42788461538461,53.60576923076923,68.8701923076923,68.02884615384616,224.0
mobilenetv3_large_100.miil_in21k_ft_in1k,CNN,ImageNet 21k,77.92,49.74012474,65.80796253,44.68085106,64.89361702,56.62188099808061,59.01442307692308,60.33653846153846,58.65384615384615,59.375,224.0
mobilenetv3_large_100.ra_in1k,CNN,ImageNet 1k,75.766,50.05197505,64.4028103,48.93617021,60.63829787,54.31861804222648,64.78365384615384,60.9375,59.73557692307692,58.41346153846154,224.0
mobilenetv3_rw.rmsp_in1k,CNN,ImageNet 1k,75.62,49.50623701,71.31147541,58.5106383,64.89361702,50.8637236084453,60.45673076923077,58.53365384615385,48.67788461538461,62.74038461538461,224.0
mobilenetv3_small_075.lamb_in1k,CNN,ImageNet 1k,65.236,50.41580042,63.7782982,44.68085106,73.40425532,53.74280230326296,60.09615384615385,62.62019230769231,57.8125,55.28846153846154,224.0
